Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Sudan,13535,0,836,0,6759,0,5940,0,307,19,0,0,44066943,Africa,3256,52712,0
Norway,12769,125,267,1,10371,0,2131,2,2351,49,940722,173227,5430560,Europe,425,20339,6
Albania,12073,125,353,6,6831,43,4889,18,4196,123,73651,25599,2877094,Europe,238,8150,39
DRC,10456,14,268,1,9863,23,325,0,116,3,0,0,90130995,Africa,8620,336310,0
Guinea,10231,77,63,0,9660,48,508,24,775,5,30764,2329,13207885,Africa,1291,209649,429
Namibia,10207,129,108,0,7947,262,2152,14,4001,42,86092,33751,2550803,Africa,250,23619,30
Malaysia,10147,95,129,1,9264,14,754,11,313,4,1417154,43664,32456224,Asia,3199,251599,23
French Guiana,9659,36,65,0,9298,31,296,4,32163,216,62400,207780,300318,South America,31,4620,5
Maldives,9568,74,33,0,8077,44,1458,12,17634,61,137200,252859,542594,Asia,57,16442,4
Tajikistan,9259,45,73,0,8026,38,1160,0,966,8,0,0,9583284,Asia,1035,131278,0
Finland,8858,59,339,0,7700,0,819,3,1598,61,866092,156260,5542636,Europe,626,16350,6
Gabon,8696,18,53,0,7848,21,795,5,3888,24,147678,66019,2236894,Africa,257,42206,15
Haiti,8600,44,221,1,6363,48,2016,0,752,19,25752,2252,11432811,North America,1329,51732,444
Tunisia,8570,0,133,0,2342,0,6095,47,723,11,179035,15114,11845658,Africa,1382,89065,66
Luxembourg,7718,177,124,0,6703,62,891,1,12286,197,771950,1228873,628177,Europe,81,5066,1
Montenegro,7711,208,133,4,4997,105,2581,0,12277,212,60669,96594,628084,Europe,81,4722,10
Zimbabwe,7647,14,224,0,5883,42,1540,0,513,15,157144,10540,14909825,Africa,1950,66562,95
Mauritania,7361,15,161,0,6882,17,318,3,1574,34,77592,16596,4675471,Africa,635,29040,60
Mozambique,6264,103,40,1,3502,109,2722,0,199,1,121398,3861,31439641,Africa,5019,785991,259
Slovakia,6256,235,39,0,3390,102,2827,22,1146,7,403055,73816,5460232,Europe,873,140006,14
Malawi,5716,5,179,0,4026,26,1511,4,297,9,49798,2589,19234462,Africa,3365,107455,386
Uganda,5594,214,61,1,2544,55,2989,0,121,1,444346,9651,46042351,Africa,8231,754793,104
Djibouti,5403,4,61,0,5333,0,9,0,5451,62,73695,74356,991115,Africa,183,16248,13
Eswatini,5215,24,103,0,4478,39,634,11,4485,89,31766,27319,1162791,Africa,223,11289,37
Cabo Verde,5141,78,50,1,4548,83,543,0,9225,90,76576,137404,557306,Africa,108,11146,7
Cuba,5004,71,111,2,4249,19,644,19,442,10,524374,46302,11325071,North America,2263,102028,22
Equatorial Guinea,5002,0,83,0,4509,0,410,0,3541,59,57119,40436,1412571,Africa,282,17019,25
Hong Kong,4997,3,103,1,4696,14,198,13,665,14,2783134,370573,7510344,Asia,1503,72916,3
Congo,4980,46,89,1,3887,0,1004,0,898,16,0,0,5546883,Africa,1114,62325,0
Nicaragua,4961,0,147,0,2913,0,1901,0,747,22,0,0,6641735,North America,1339,45182,0
CAR,4786,4,62,0,1830,0,2894,2,987,13,31723,6544,4847859,Africa,1013,78191,153
Suriname,4691,20,96,1,4280,120,315,7,7981,163,12643,21510,587785,South America,125,6123,46
Rwanda,4671,18,25,2,2845,28,1801,0,359,2,471767,36233,13020261,Africa,2787,520810,28
Jamaica,4571,197,55,4,1264,39,3252,9,1542,19,71052,23971,2964028,North America,648,53891,42
Myanmar,4467,424,70,10,1130,186,3267,0,82,1,212826,3906,54490167,Asia,12198,778431,256
Jordan,4344,213,29,3,2511,96,1804,13,425,3,1045700,102266,10225305,Asia,2354,352597,10
Slovenia,4195,137,140,4,2939,42,1116,11,2018,67,196338,94439,2079002,Europe,496,14850,11
Angola,3848,59,147,3,1443,38,2258,16,116,4,65951,1994,33079785,Africa,8597,225033,502
Syria,3731,40,168,3,918,15,2645,0,212,10,0,0,17590857,Asia,4715,104707,0
Trinidad and Tobago,3651,217,60,0,1586,772,2005,6,2607,43,28774,20546,1400493,North America,384,23342,49
Lithuania,3565,61,87,0,2181,32,1297,0,1314,32,716972,264215,2713589,Europe,761,31191,4
Mayotte,3541,0,40,0,2964,0,537,2,12913,146,13000,47409,274212,Africa,77,6855,21
Thailand,3497,7,58,0,3328,3,111,1,50,0.8,749213,10728,69838891,Asia,19971,1204119,93
Gambia,3485,12,108,1,1973,22,1404,0,1434,44,14749,6067,2430948,Africa,698,22509,165
Aruba,3460,78,23,0,2128,386,1309,11,32377,215,27760,259765,106866,North America,31,4646,4
Guadeloupe,3426,0,26,0,837,0,2563,28,8562,65,38505,96229,400139,North America,117,15390,10
Somalia,3390,0,98,0,2812,0,480,0,212,6,0,0,15986523,Africa,4716,163128,0
Sri Lanka,3281,5,13,0,3060,17,208,0,153,0.6,262378,12242,21433131,Asia,6532,1648702,82
Réunion,3194,95,15,0,1794,0,1385,0,3562,17,35419,39498,896719,Africa,281,59781,25
Bahamas,3177,0,69,0,1626,0,1482,65,8062,175,16386,41582,394067,North America,124,5711,24
Georgia,3119,182,19,0,1435,13,1665,0,782,5,529121,132697,3987451,Asia,1278,209866,8
Mali,2991,25,128,0,2332,21,531,0,147,6,46993,2307,20373309,Africa,6812,159166,434
Estonia,2814,36,64,0,2357,20,393,3,2121,48,182635,137658,1326734,Europe,471,20730,7
Malta,2634,39,17,1,1996,18,621,2,5962,38,226330,512286,441804,Europe,168,25988,2
South Sudan,2609,10,49,0,1290,0,1270,0,232,4,12044,1073,11222344,Africa,4301,229027,932
Botswana,2567,0,13,0,624,0,1930,1,1087,6,156054,66074,2361794,Africa,920,181676,15
Guinea-Bissau,2303,28,39,0,1127,0,1137,5,1164,20,0,0,1977884,Africa,859,50715,0
Benin,2280,0,40,0,1950,0,290,0,187,3,169063,13869,12190280,Africa,5347,304757,72
Iceland,2230,24,10,0,2112,0,108,0,6526,29,244348,715030,341731,Europe,153,34173,1
Sierra Leone,2153,20,72,0,1649,3,432,0,269,9,0,0,8011707,Africa,3721,111274,0
Guyana,2102,75,62,2,1314,12,726,16,2670,79,11771,14949,787391,South America,375,12700,67
Yemen,2024,2,585,0,1221,0,218,0,68,20,0,0,29966050,Asia,14805,51224,0
Uruguay,1890,14,46,0,1603,21,241,0,544,13,210199,60465,3476400,South America,1839,75574,17
New Zealand,1809,0,25,0,1714,0,70,4,362,5,897077,179340,5002100,Australia/Oceania,2765,200084,6
Burkina Faso,1797,30,56,0,1173,7,568,0,85,3,0,0,21024015,Africa,11700,375429,0
Togo,1640,22,41,0,1251,8,348,0,197,5,81514,9797,8319971,Africa,5073,202926,102
Belize,1567,31,19,0,742,46,806,3,3926,48,12182,30517,399181,North America,255,21010,33
Cyprus,1565,7,22,0,1282,0,261,2,1294,18,344831,285151,1209293,Asia,773,54968,4
Andorra,1564,81,53,0,1164,110,347,4,20235,686,137457,1778389,77293,Europe,49,1458,1
Latvia,1498,4,36,0,1248,0,214,0,796,19,290907,154619,1881446,Europe,1256,52262,6
Lesotho,1390,63,33,0,754,67,603,0,648,15,17631,8216,2145981,Africa,1544,65030,122
Liberia,1334,1,82,0,1214,0,38,0,262,16,0,0,5082947,Africa,3810,61987,0
Niger,1183,0,69,0,1104,0,10,0,49,3,19989,820,24387417,Africa,20615,353441,1220
Chad,1147,32,81,0,966,4,100,0,69,5,0,0,16524859,Africa,14407,204011,0
Martinique,1122,0,18,0,98,0,1006,5,2990,48,19534,52063,375200,North America,334,20844,19
French Polynesia,1111,0,2,0,873,0,236,4,3950,7,18802,66848,281266,Australia/Oceania,253,140633,15
Vietnam,1068,2,35,0,941,1,92,0,11,0.4,1009145,10347,97530651,Asia,91321,2786590,97
Sao Tome and Principe,908,1,15,0,873,0,20,0,4127,68,4523,20556,220034,Africa,242,14669,49
