Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Greece,16627,341,366,9,9989,0,6272,68,1597,35,1246363,119716,10411029,Europe,626,28445,8
Madagascar,16191,24,227,1,14833,45,1131,15,581,8,68787,2470,27849374,Africa,1720,122684,405
Croatia,15572,232,261,4,14111,296,1200,24,3799,64,279035,68069,4099274,Europe,263,15706,15
Senegal,14816,21,304,1,11818,100,2694,24,880,18,170433,10120,16841943,Africa,1137,55401,99
Zambia,14491,48,332,0,13643,14,516,0,783,18,146329,7911,18497912,Africa,1277,55717,126
Sudan,13592,14,836,0,6764,4,5992,0,308,19,0,0,44078162,Africa,3243,52725,0
Norway,13347,70,270,3,10371,0,2706,2,2458,50,999528,184040,5431023,Europe,407,20115,5
Tunisia,13305,826,180,6,5032,2646,8093,74,1123,15,212620,17947,11847009,Africa,890,65817,56
Albania,12921,134,370,0,7239,100,5312,18,4491,129,78704,27356,2877060,Europe,223,7776,37
Namibia,10740,77,119,2,8482,51,2139,15,4210,47,92943,36430,2551307,Africa,238,21440,27
Malaysia,10576,71,133,0,9666,64,777,6,326,4,1451697,44722,32460756,Asia,3069,244066,22
DRC,10555,18,271,0,10051,10,233,0,117,3,0,0,90160887,Africa,8542,332697,0
Guinea,10434,0,65,0,9801,0,568,24,790,5,32458,2457,13211792,Africa,1266,203258,407
Maldives,9885,0,34,0,8530,0,1321,12,18215,63,142374,262345,542698,Asia,55,15962,4
French Guiana,9790,28,65,0,9456,25,269,6,32590,216,64305,214062,300403,South America,31,4622,5
Montenegro,9717,289,154,3,5917,189,3646,0,15471,245,65049,103567,628085,Europe,65,4078,10
Tajikistan,9520,45,74,0,8296,52,1150,0,993,8,0,0,9585631,Asia,1007,129536,0
Finland,9379,91,343,0,7850,0,1186,4,1692,62,937004,169051,5542730,Europe,591,16160,6
Gabon,8716,0,54,0,7906,0,756,2,3895,24,157828,70539,2237470,Africa,257,41435,14
Haiti,8668,22,227,2,6551,0,1890,0,758,20,27117,2372,11434330,North America,1319,50371,422
Myanmar,8344,1052,150,20,2381,296,5813,0,153,3,224383,4118,54494147,Asia,6531,363294,243
Luxembourg,8158,68,124,0,6910,48,1124,3,12984,197,800045,1273371,628289,Europe,77,5067,1
Zimbabwe,7725,0,227,0,6007,0,1491,0,518,15,157772,10580,14912190,Africa,1930,65692,95
Slovakia,7629,360,41,0,3978,90,3610,25,1397,8,428308,78441,5460261,Europe,716,133177,13
Mauritania,7433,8,161,0,7052,24,220,3,1589,34,78262,16734,4676811,Africa,629,29049,60
Mozambique,7399,137,51,2,4558,208,2790,0,235,2,130060,4136,31449249,Africa,4250,616652,242
Uganda,7064,185,70,1,3226,265,3768,0,153,2,463618,10066,46058215,Africa,6520,657975,99
Jordan,6591,549,36,1,3937,125,2618,13,645,4,1127961,110299,10226411,Asia,1552,284067,9
Malawi,5747,1,179,0,4163,23,1405,4,299,9,51773,2691,19239882,Africa,3348,107485,372
Jamaica,5588,193,77,1,1490,46,4021,7,1885,26,74765,25223,2964169,North America,530,38496,40
Cabo Verde,5479,67,55,1,4917,80,507,0,9830,99,76576,137388,557372,Africa,102,10134,7
Djibouti,5407,0,61,0,5339,1,7,0,5455,62,75534,76199,991272,Africa,183,16250,13
Eswatini,5375,32,108,0,4724,31,543,11,4622,93,31969,27490,1162922,Africa,216,10768,36
Cuba,5270,0,118,0,4582,0,570,8,465,10,561746,49602,11324995,North America,2149,95975,20
Nicaragua,5073,0,149,0,2913,0,2011,0,764,22,0,0,6642596,North America,1309,44581,0
Hong Kong,5057,7,104,1,4758,9,195,13,673,14,3311279,440857,7511008,Asia,1485,72221,2
Equatorial Guinea,5018,0,83,0,4509,0,426,4,3551,59,58603,41472,1413078,Africa,282,17025,24
Congo,5005,0,89,0,3887,0,1029,0,902,16,0,0,5548372,Africa,1109,62341,0
Slovenia,4816,122,145,2,3245,77,1426,23,2316,70,210479,101240,2079005,Europe,432,14338,10
CAR,4802,0,62,0,1830,0,2910,2,990,13,31723,6542,4848778,Africa,1010,78206,153
Rwanda,4789,10,27,0,3050,55,1712,0,368,2,483441,37120,13023781,Africa,2720,482362,27
Suriname,4779,0,101,0,4560,0,118,5,8130,172,13224,22496,587842,South America,123,5820,44
Guadeloupe,4487,0,42,0,2199,0,2246,24,11214,105,47049,117581,400140,North America,89,9527,9
Georgia,4399,259,26,1,1705,62,2668,0,1103,7,571486,143324,3987368,Asia,906,153360,7
Angola,4363,0,159,0,1473,0,2731,8,132,5,65951,1993,33091011,Africa,7584,208120,502
Trinidad and Tobago,4222,86,67,0,2037,77,2118,11,3015,48,29961,21392,1400543,North America,332,20904,47
Lithuania,4070,138,89,2,2253,7,1728,0,1500,33,744174,274281,2713177,Europe,667,30485,4
Syria,3966,42,183,2,1013,15,2770,0,225,10,0,0,17595517,Asia,4437,96150,0
Aruba,3756,35,25,0,2664,163,1067,11,35145,234,29865,279449,106871,North America,28,4275,4
Bahamas,3618,0,80,0,1915,0,1623,79,9180,203,18263,46340,394108,North America,109,4926,22
Gambia,3552,10,110,0,2012,1,1430,0,1461,45,14956,6150,2431692,Africa,685,22106,163
Mayotte,3541,0,40,0,2964,0,537,2,12910,146,13000,47396,274284,Africa,77,6857,21
Thailand,3516,2,59,0,3353,8,104,1,50,0.8,749213,10727,69840800,Asia,19864,1183742,93
Réunion,3501,0,11,0,2482,0,1008,0,3904,12,35419,39495,896788,Africa,256,81526,25
Somalia,3465,0,98,0,2877,0,490,0,217,6,0,0,15991387,Africa,4615,163177,0
Sri Lanka,3333,9,13,0,3142,13,178,0,155,0.6,275590,12858,21434110,Asia,6431,1648778,78
Estonia,3076,44,64,0,2395,8,617,2,2318,48,197434,148811,1326744,Europe,431,20730,7
Mali,3041,7,130,0,2391,9,520,0,149,6,50528,2479,20379709,Africa,6702,156767,403
Botswana,2921,354,16,3,701,77,2204,1,1236,7,179742,76087,2362314,Africa,809,147645,13
Malta,2898,42,27,2,2191,18,680,0,6559,61,240387,544087,441817,Europe,152,16364,2
South Sudan,2669,5,49,0,1290,0,1330,0,238,4,12044,1073,11223778,Africa,4205,229057,932
Guyana,2579,44,71,2,1483,19,1025,14,3275,90,12753,16196,787433,South America,305,11091,62
Iceland,2512,36,10,0,2150,8,352,0,7350,29,266113,778666,341755,Europe,136,34176,1
Benin,2325,0,40,0,1954,0,331,0,191,3,180486,14802,12193762,Africa,5245,304844,68
Guinea-Bissau,2324,0,39,0,1549,0,736,5,1175,20,0,0,1978394,Africa,851,50728,0
Sierra Leone,2188,5,72,0,1666,1,450,0,273,9,0,0,8013484,Africa,3662,111298,0
